"obj","museum","text","material_group"
"http://data.silknow.org/object/c46f51fa-a468-336f-b7c0-de621c127019","http://data.silknow.org/graph/cer","Neoclasicismo","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/142aad2a-6d1d-3391-ab55-5bcb9d1c3d4a","http://data.silknow.org/graph/cer","Época Luis XVI","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/903d4672-90ff-39dc-8c8d-e735104d5edd","http://data.silknow.org/graph/cer","Barroco","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/60c4732a-ebb9-3738-b5d6-837a7cde7fda","http://data.silknow.org/graph/cer","Edad Media","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/50677668-2e9e-37d3-840d-c8149043b7f8","http://data.silknow.org/graph/cer","Edad Media","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/e74fb7b4-7b78-30bf-824c-6ddc0dffb624","http://data.silknow.org/graph/cer","Época Luis XVI","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/c0e71a1f-5272-398a-9647-97d47426dd55","http://data.silknow.org/graph/cer","Renacimiento","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/cd28ab01-307b-3d02-adaf-1fe51948a535","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/7f82fa31-4cc9-34d5-8471-8d7cc17d643a","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/1d6da545-d004-38c2-97cc-c2d83de4b5ef","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/6a5486fa-094b-3e08-ab88-2ff710369fc8","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/a6474d89-9e55-38c6-83fd-69ad159036ae","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/97bbdcb0-cccf-34ad-9f58-5b971f1a2abd","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/79d97806-2c55-3c44-a1be-15456e135b7d","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/76447c78-67c9-353f-a308-99336a7f42c8","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/7c4f566a-bd1d-3076-8b69-0ffc6129099a","http://data.silknow.org/graph/cer","Art Nouveau","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/e6ed3faa-0a9f-33dc-8164-1857f9178734","http://data.silknow.org/graph/cer","Neoclasicismo","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/d6badd88-baf5-380b-a302-478042787a33","http://data.silknow.org/graph/cer","Renacimiento","http://data.silknow.org/vocabulary/facet/vegetal_fibre"
"http://data.silknow.org/object/eb7890b4-3b30-3916-bf77-3615a16570ab","http://data.silknow.org/graph/cer","Rococó","http://data.silknow.org/vocabulary/facet/vegetal_fibre"
"http://data.silknow.org/object/d0267721-8376-334b-8d56-ddb32abad5fd","http://data.silknow.org/graph/cer","Renacimiento","http://data.silknow.org/vocabulary/facet/vegetal_fibre"
"http://data.silknow.org/object/903d4672-90ff-39dc-8c8d-e735104d5edd","http://data.silknow.org/graph/cer","Barroco","http://data.silknow.org/vocabulary/facet/vegetal_fibre"
"http://data.silknow.org/object/50677668-2e9e-37d3-840d-c8149043b7f8","http://data.silknow.org/graph/cer","Edad Media","http://data.silknow.org/vocabulary/facet/vegetal_fibre"
"http://data.silknow.org/object/baf2af58-c998-320b-87d6-87be895e0306","http://data.silknow.org/graph/cer","Edad Moderna","http://data.silknow.org/vocabulary/facet/vegetal_fibre"
"http://data.silknow.org/object/48f8b56c-91b4-3bb0-9696-6fde18dc10a9","http://data.silknow.org/graph/cer","Edad Moderna","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/8c435798-63c8-3c5c-9545-4e90a6becd79","http://data.silknow.org/graph/cer","Edad Contemporánea","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/0da21dfd-98ce-3ff2-b1a3-cd441794454c","http://data.silknow.org/graph/cer","Edad Moderna","http://data.silknow.org/vocabulary/facet/animal_fibre"
"http://data.silknow.org/object/871776e1-88a6-3377-a956-77167dd0a548","http://data.silknow.org/graph/cer","Edad Contemporánea","http://data.silknow.org/vocabulary/facet/animal_fibre"
